id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
45691383,138 Bowery-Classic Queen Studio,51548122,Jeniffer,Manhattan,Lower East Side,40.72034,-73.99387,Entire home/apt,150,15,27,2024-02-13,0.65,51,65,8,Exempt
815887248229691581,Queen Bedroom B in #290: Hell's Kitchen,305240193,June,Manhattan,Hell's Kitchen,40.7599807983639,-73.99272883529446,Private room,85,30,0,,,320,176,0,
50700543,"Beautiful, spacious 2 bedroom — Prime Williamsburg",10394112,Abby,Brooklyn,Williamsburg,40.71115,-73.95462,Entire home/apt,,30,4,2021-10-02,0.13,1,0,0,
834146352038910394,Bright Private Room in Park Slope,73840433,Benjamin,Brooklyn,Park Slope,40.67971,-73.98014,Private room,,30,2,2024-01-02,0.18,1,0,2,
50695926,"Lux Building, HDTV Room, Gym, Rooftop, Laundry#222",3223938,Eugene,Brooklyn,Bushwick,40.6898,-73.92042,Private room,,90,1,2022-05-01,0.04,628,0,0,
50658275,Modern 1-Bedroom Apartment in Beautiful Bed-Stuy!,44811074,Jordyn,Brooklyn,Bedford-Stuyvesant,40.68632,-73.92101,Entire home/apt,,30,39,2023-07-10,1.34,1,0,7,
4925368,"North, J train Gates Ave 5 min, ASK SHRT Trm$",331579,Marlon,Brooklyn,Bedford-Stuyvesant,40.68751,-73.922,Private room,40,30,73,2023-11-24,0.69,1,270,4,
16954330,The Cozy Cole room at The Harlem Flophouse,3236595,René,Manhattan,Harlem,40.80799,-73.95006,Private room,126,1,117,2024-01-08,1.36,4,130,8,Exempt
44580140,"Cozy room&house in Woodside, comfortable are!!",19303369,Hiroki,Queens,Woodside,40.74094,-73.89607,Private room,37,30,2,2021-03-31,0.05,273,30,0,
664858198125567144,☆☆Private bathroom - You have your own bathroom☆☆,200239515,Shogo,Queens,Elmhurst,40.73932,-73.87561,Private room,42,30,0,,,254,55,0,
749445915164605594,Historic Brownstone Brooklyn 1 BR Apt - Monthly,46855885,Jennifer,Brooklyn,Cobble Hill,40.688147900479116,-73.9974049199509,Entire home/apt,162,31,6,2023-07-16,0.37,1,279,1,
52921783,Spacious and cozy private room in Bushwick,4232762,Sigfus,Brooklyn,Williamsburg,40.7072505,-73.9399195,Private room,121,3,67,2024-02-26,2.35,3,64,31,OSE-STRREG-0000244
6414747,"NY city near Central Park, Subway doorman & gym",39827,David,Manhattan,Harlem,40.8025,-73.95745,Private room,225,32,1,2023-08-26,0.15,2,336,1,
1030338075879597283,Twin Bedroom D in #763: Upper West Side,305240193,June,Manhattan,Upper West Side,40.80204,-73.96608,Private room,67,30,0,,,320,61,0,
27823763,2 Bedroom with backyard and best location,10017420,Liat,Brooklyn,Cobble Hill,40.68644,-73.99917,Entire home/apt,300,30,160,2023-12-03,2.38,1,149,30,
881751900445395486,Studio in Wall Street. Very cute,295426236,Bouzoubaa,Manhattan,Financial District,40.7047955,-74.0076151,Entire home/apt,120,90,0,,,1,90,0,
53045446,"1 Bedroom Plus Apt | Placemakr Wall Street, NYC",420415528,Placemakr Wall Street,Manhattan,Financial District,40.704903,-74.006416,Entire home/apt,431,1,31,2024-02-16,1.11,15,350,9,Exempt
783598650982737063,"Traveler 4 Friendly Hot Queens NYC, Male Only DOWN",35783912,Lee And Lu,Queens,Corona,40.74749,-73.86087,Shared room,59,30,9,2024-02-01,0.63,7,365,5,
29897123,Apartment in Brooklyn - 20 Minutes to Manhattan,218959287,George,Brooklyn,Crown Heights,40.67553,-73.94655,Entire home/apt,120,30,33,2024-03-04,2.02,1,94,28,
46193714,Fantastic studio in the heart of NYC,120762452,Stanley,Manhattan,Murray Hill,40.74993,-73.97569,Entire home/apt,100,30,2,2021-07-09,0.06,83,365,0,
46391257,Crown Heights Penthouse w/ Private Garden,157194575,James,Brooklyn,Crown Heights,40.67761,-73.95607,Entire home/apt,262,30,11,2023-06-03,0.30,1,358,3,
658567847166417444,Lovely studio apartment in the middle of Astoria,466365624,Nikos,Queens,Ditmars Steinway,40.77436,-73.92098,Entire home/apt,190,30,25,2023-08-27,1.66,1,365,21,
31040919,Cute studio apartment,5909599,Danica,Queens,Ditmars Steinway,40.77593,-73.9161,Entire home/apt,150,30,15,2023-08-20,0.26,2,25,1,
40400671,"Cozy, modern Studio, 15 min to Manhattan, 3 wk",237330464,Cristian,Queens,Astoria,40.7708,-73.92028,Entire home/apt,110,30,24,2023-10-31,0.89,1,34,2,
691695581479158288,Ditmars Dive,367231035,Katerina,Queens,Ditmars Steinway,40.777701,-73.9093895,Shared room,157,30,0,,,1,173,0,
1077670079766597099,Spacious Private Room | Heart of Manhattan,558446111,Tilden,Manhattan,Harlem,40.803427273477894,-73.95642108517274,Private room,38,30,0,,,9,184,0,
771089342334029985,Charm & Style in Crown Heights | Steps to Subway,489623638,Izzy,Brooklyn,Crown Heights,40.67682724776085,-73.94217965390285,Entire home/apt,251,1,43,2024-01-29,2.84,2,126,35,Exempt
25458237,Bed+bath+kitchen+garden+own entry. JUST RENOVATED!,3173002,Sarah,Brooklyn,Crown Heights,40.67094,-73.94989,Entire home/apt,200,30,31,2023-12-10,1.37,1,110,12,
21378053,Special one bedroom in midtown Manhattan,120762452,Stanley,Manhattan,Murray Hill,40.75037,-73.9775,Entire home/apt,140,30,4,2020-12-28,0.05,83,365,0,
42277758,Astoria Prime 2,335126650,Jay,Queens,Astoria,40.77434,-73.92678,Entire home/apt,130,30,31,2023-11-05,1.91,2,364,26,
827054625704019860,Highly 3 Rated NYC Traveler Select Sharedroom L,35783912,Lee And Lu,Queens,Corona,40.74704,-73.85429,Shared room,59,30,3,2023-09-04,0.24,7,365,2,
1085480444132277590,"1 Bed in 2 Bed Male Pod, Shared Bath",502294991,Kama,Manhattan,Upper West Side,40.7981293,-73.9609289,Shared room,80,1,7,2024-03-05,7,4,255,7,OSE-STRREG-0000068
46055732,Room with terrace! good apartment in woodside,19303369,Hiroki,Queens,Woodside,40.74122,-73.89566,Private room,30,30,0,,,273,49,0,
30766643,Elegant & Cozy Brownstone Apt | Central Manhattan,230049837,Crystal,Manhattan,Murray Hill,40.75004,-73.97929,Entire home/apt,110,30,14,2023-11-05,0.22,1,159,6,
866915579613659368,Enjoyable Stay! Close to the Empire State Building,501999278,RoomPicks,Manhattan,Theater District,40.75888139474804,-73.98677431162925,Private room,164,1,1,2023-10-30,0.23,156,257,1,Exempt
761606,"Great location, cozy and quiet.",1292205,Pasha,Queens,Astoria,40.76252,-73.91735,Entire home/apt,133,30,44,2023-05-21,0.32,1,358,2,
